"catModeration","نظارت بر مطلب","fa","string","Admin"
"catName","رده","fa","string","Admin"
"catOrder","ترتیب","fa","string","Admin"
"catStatus","وضعیت","fa","string","Admin"
"catSubscription","بالاترین سطح اشتراک","fa","string","Admin"
"forumAddAllow","افزودن عضو","fa","string","Admin"
"forumAllowed","اعضای مجاز","fa","string","Admin"
"forumAuthType","دسترسی مجاز","fa","string","Admin"
"forumAvailMods","دبیران موجود","fa","string","Admin"
"forumCategory","طبقه","fa","string","Admin"
"forumDescription","توصیف","fa","string","Admin"
"forumModeration","نظارت","fa","string","Admin"
"forumMods","دبیران","fa","string","Admin"
"forumOrder","ترتیب","fa","string","Admin"
"forumPollsAuth","چه کسی بتواند نظرسنجی بسازد","fa","string","Admin"
"forumPostCount","شمارش تعداد مطالب","fa","string","Admin"
"forumRemAllow","حذف عضو","fa","string","Admin"
"forumType","نوع","fa","string","Admin"
"forumUnavailMods","دبیران تخصیص یافته","fa","string","Admin"
"forumUsrLook","نام کاربری را برای یافتن عضو وارد کنید","fa","string","Admin"
"forumView","نمای پیش‌فرض","fa","string","Admin"
"forumSubject","موضوع","fa","string","Admin"
"forumSubscription","اشتراک‌ها","fa","string","Admin"
"lblOnHold","در انتظار","fa","string","Admin"
"lblUnmoderated","در انتظار تأیید!!!","fa","string","Admin"
"SmtpDeliveryMethod_Network","Network","fa","string","Admin_Email"
"SmtpDeliveryMethod_PickupDirectoryFromIis","Pickup Folder From IIS","fa","string","Admin_Email"
"SmtpDeliveryMethod_SpecifiedPickupDirectory","Specified Folder","fa","string","Admin_Email"
"strPostedFrom","-- ارسال شده با {0} --","fa","string","Api"
"srchBlog","جستجوی وبلاگ","fa","string","BlogPages"
"tipPrintBlog","چاپ محتوای وبلاگ","fa","string","BlogPages"
"ttlBlog","بلاگ","fa","string","BlogPages"
"lblRateMe","امتیاز به این مطلب","fa","string","BlogPages"
"lblBlog","وبلاگ","fa","string","BlogPages"
"lblComments","نظرات","fa","string","BlogPages"
"btnPrintBlog","چاپ وبلاگ","fa","string","BlogPages"
"DeleteBookmarks","حذف نشانک‌ها","fa","string","Bookmarks"
"DeleteConfirm","آیا مطمئن هستید که می‌خواهید نشانک‌ها را حذف کنید؟","fa","string","Bookmarks"
"Deleted","نشانک‌ها حذف شدند","fa","string","Bookmarks"
"IndexTitle","نشانک‌ها","fa","string","Bookmarks"
"Started","ستاره‌دار","fa","string","Bookmarks"
